title,content,date_iso,authors,feed_source,link
The Epic Games Store Is Giving Away Free Games Every Day: Here's What You Can Get Today,"The Epic Games Store continues to give away a free game each week, and this week is another nice find with a price that can't be beaten. Every Thursday at 8 AM PT / 11 AM ET, Epic offers at least one free PC game (and sometimes even as many as two or three). All you need to do to claim the free games is create a free Epic account and enable two-factor authentication. You have a week to add the freebies to your library before the new one(s) take their place. At this point, Epic has given away hundreds of free games, and there's no sign that the program will stop any time soon. The company has also extended its freebies to Android devices, and you can claim a free game every week here as well . We keep this article up to date weekly to highlight both the current free games and next week's offerings. If you're looking for more freebies, you can check out our list of the 25 best free PC games to play in 2025 , or for more options, the 25 best free games to play in 2025 on multiple platforms. Current free game at Epic What's under the Epic Games Store tree today? Epic offers daily free games during the last days of December, so you can check back starting December 18 for more freebies in the store. You can also check the list below to see what's currently available, or what you might have missed out on during this festive promotion. Today’s game is The Callisto Protocol , a sci-if survival-horror adventure from the mind of Dead Space creator Glen Schofield. Continue Reading at GameSpot",2025-12-24T17:12:00+00:00,,GameSpot - All Content,https://www.gamespot.com/articles/free-games-epic-games-store/1100-6476419/?ftag=CAD-01-10abi2f
Our Favorite Games of 2025 (That Didn't Make Our Top 10),"There were so many good games this year that they couldn't all fit on GameSpot's Top 10, but that doesn't mean we're going to let them fade away and not be seen, or recognize, or talked about. Here are some of our favorite games from 2025 that meant something to our team. Timestamps: 0:00 Intro 0:36 Kirby Air Riders 2:33 Avowed 4:27 Cabernet 6:20 Atomfall 8:29 And Roger 9:44 Ball X Pit 10:39 South of Midnight 12:45 The Roottrees are Dead 14:57 Metal Gear Solid Delta: Snake Eater",2025-12-24T17:00:00+00:00,,GameSpot - All Content,https://www.gamespot.com/videos/our-favorite-games-of-2025-that-didnt-make-our-top-10/2300-6466622/
The Best Xbox Games Of 2025 According To Metacritic,"To say that Xbox had a busy 2025 would be an understatement. It was a year full of big game launches, strategy shifts, and several unpleasant surprises from Microsoft's gaming division in the form of price increases and mass layoffs. The main takeaway for Xbox in 2025 was consistency , as there was a steady feed of new games on PC and Xbox Series X|S from Xbox Game Studios alongside the launch of an expensive Xbox-branded handheld PC. But what does it mean to be an Xbox game in 2025? Microsoft doubled down on bringing its console exclusives to PlayStation 5, and many of those games were bestsellers on Sony's hardware. Doom: The Dark Ages, Gears of War: Reloaded, and The Outer Worlds 2 all had day-and-date launches on multiple platforms, and next year will see Microsoft's crown jewel, Halo, arrive on PS5. If an Xbox is the only console in your home, 2025 was still a great year overall for grabbing new games. From GOTY contenders like Blue Prince and Hollow Knight: Silksong to interesting third-party titles like Mullet MadJack and The Alters, there was no shortage of exciting games to grab. Many of them earned high review scores, and you can see which ones were critically acclaimed, thanks to some number-crunching by our sister site Metacritic. For a deep dive into the best of 2025, you can also read up on GameSpot's GOTY pick , the best Xbox exclusives , and the biggest news stories of the year . We've also got a running list of the best Xbox games and Game Pass games to play right now. More Best Of 2025: Best of 2025 hub Why Clair Obscur: Expedition 33 Is GameSpot's GOTY 2025 GameSpot's 10 Best Games of 2025 The Best PS5-Exclusive Games Of 2025 The Best Nintendo Switch And Switch 2 Exclusives Of 2025 The Best-Reviewed Games Of 2025 2025's Biggest Gaming News: Banned Games, GTA 6 Delayed, Price Hikes Split Fiction Hazelight cemented its position this year as not only the best in the business when it comes to co-op games, but a force to be reckoned with when it comes to storytelling as well. Not just a triumph of inventive gameplay, Split Fiction complements that experience with a tale about the power of human creativity. Metascore: 93 | Read our Split Fiction review Blue Prince Blue Prince captures you from the outset thanks to the mystery of the shifting manor. Clever puzzles and a dose of RNG can be initially frustrating, but as you progress through the game and uncover the deeper lore and secrets, that frustration dissipates to make room for satisfaction and awe. Blue Prince offers so much more depth than it appears to at first glance, and when you start to put the pieces together, you’ll be hooked. Metascore: 92 | Read our Blue Prince review Clair Obscur: Expedition 33 One of the best RPGs of the year, Clair Obscur: Expedition 33 wows you with its stellar turn-based gameplay and breaks your heart with its elegantly melancholic storytelling. Innovative and beautiful to behold, Sandfall Interactive's debut game makes an incredible first impression. Metascore: 91 | Read our Clair Obscur: Expedition 33 review Monster Hunter Wilds Capcom's previous Monster Hunter games have been terrific adventures, but Monster Hunter Wilds shows just how good the franchise's signature formula can be once all the friction has been removed from it. If you've been teetering on the edge and looking to play your first Monster Hunter game, Monster Hunter Wilds makes a strong case for the franchise with its polished gameplay and gripping story. Metascore: 90 | Read our Monster Hunter Wilds review Hollow Knight: Silksong Hollow Knight: Silksong more than lived up to the lofty expectations placed upon it by its eager fanbase, as the follow-up to 2017's Hollow Knight was pure metroidvania magic. Challenging and charming in equal measure, Team Cherry delivered an energetic sequel that could be ruthlessly difficult and incredibly satisfying when you overcame those obstacles. Metascore: 90 | Read our Hollow Knight: Silksong review Arc Raiders One of the best ""stories"" in video games this year was arguably Arc Raiders, which technically has little to no story, but the combination of its setting, lore, and player-to-player interactions have made it a fascinating storytelling vehicle, the likes of which rarely come around in games. Metascore: 88 | Read our Arc Raiders review Final Fantasy 16 One of the boldest reinventions of Final Fantasy since the franchise jumped from cartridge to CD-ROM, Final Fantasy 16 is a fascinating shift into new territory for the series. Featuring the darkest fantasy setting to date, gameplay that keeps you engaged with the battles on your screen, and several jaw-dropping boss fights, it's one of the all-time greats in the mainline series. Metascore: 88 | Read our Final Fantasy 16 review Kingdom Come: Deliverance 2 Being one of the longest games of the year doesn't automatically make it one of the best, but that was surely the case for Kingdom Come: Deliverance 2, an RPG that will easily take you 100+ hours if yo",2025-12-24T17:00:00+00:00,,GameSpot - All Content,https://www.gamespot.com/gallery/the-best-xbox-games-of-2025-according-to-metacritic/2900-7359/
Roblox Music Codes And Song IDs,"Roblox has an almost endless amount of content ready for players to discover, but one element you may find to be missing is a little dash of that party atmosphere. But thankfully, you can bring some groove to the game with a wide selection of Roblox music codes. Popping these codes into the game is easy and allows you to play some of the biggest songs in the world while you explore your preferred Roblox titles. So, we’re going over some of the biggest and best Roblox music codes you can find and explaining how to use them with this guide. Roblox music codes Below is a selection of the biggest and most popular Roblox music codes from across the internet: Continue Reading at GameSpot",2025-12-24T10:17:00+00:00,,GameSpot - All Content,https://www.gamespot.com/articles/roblox-music-codes-and-song-ids/1100-6537126/?ftag=CAD-01-10abi2f
Fallout's Latest Episode Snuck In An Incredible Fallout: New Vegas Meme,"Spoilers for this week’s episode of Fallout ahead. Another week, another episode of Fallout. This week saw lots of use of Lucy’s (Ella Purnell) “Golden Rule” and a look into the politics of the Brotherhood of Steel. In many ways this episode felt like a significant step forward for the series, but it also took its time to honor Fallout’s past. From iconic locations to lore deep cuts , there was no shortage of callbacks. Let's take a look at what “The Golden Rule” had to offer. A Familiar and Friendly Place Continue Reading at GameSpot",2025-12-24T08:00:00+00:00,,GameSpot - All Content,https://www.gamespot.com/articles/fallouts-latest-episode-snuck-in-an-incredible-fallout-new-vegas-meme/1100-6537148/?ftag=CAD-01-10abi2f
"Fallout Season 2, Episode 2 Summary: War (And Radscoprions) Never Change","Spoilers for this week’s episode of Fallout ahead. While last week focused on Lucy (Ella Purnell), Cooper Howard aka The Ghoul (Walton Goggins), and their pursuit of Hank (Kyle Maclachlan), this week we caught up with the newly knighted Maximus (Aaron Moten) and his chapter of the Brotherhood of Steel. We also got a peek into another faction of the Mojave Wasteland, one that could potentially spell danger for our protagonists and their questline. The episode opens up with a flashback to Shady Sands in its prime; A welcoming city that almost resembles life before The Great War. We open up on Maximus' parents in their lovely home where his father is testing the radiation levels in the water and discovers most of the water beneath the city is safe to drink and could provide a long term home for Shady Sands’ residents. Life is good until a traveling nomad muttering to himself arrives with an atomic bomb, putting the city in danger. Acting fast amongst the panic and chaos, Maximus' father attempts to disarm it but accidentally activates the bomb’s failsafe, starting the three minute timer to detonation. With little time to spare, he puts Maximus in the kitchen refrigerator and he along with his mother give a tearful goodbye before they’re killed in the blast. Continue Reading at GameSpot",2025-12-24T08:00:00+00:00,,GameSpot - All Content,https://www.gamespot.com/articles/fallout-season-2-episode-2-summary-war-and-radscoprions-never-change/1100-6537147/?ftag=CAD-01-10abi2f
The Best Games To Play Over The Holiday Break 2025,"As we near the end of the year and the holidays are quickly approaching, people are spending the remainder of their vacation days, kids are out of school, and college students are coming back home to see friends and family. It is also a great time to meet up and reconnect with those faces you may not have seen in a while, or just time to unwind and relax. Either way, games are a great way to spend newfound time off, and luckily, 2025 saw the release of some wonderful titles that can appeal to whatever sort of gaming relaxation you are looking for. Whether you're looking for a game to boot up at a party or something to put on and escape into as a blizzard rages outside, here are 10 games that are great to check out this holiday. Super Mario Party Jamboree Nothing screams holidays quite like getting together again with your friends or family and screaming at them for stealing your stars in a Mario Party game. The release of the Nintendo Switch 2 saw the updated rerelease of Super Mario Party Jamboree along with it. This new title in the beloved digital board game series is packed with over 110 minigames and a roster of 22 characters, so there are more options for people to settle for after the no.1 character, Yoshi, is picked. Read our review of Super Mario Party Jamboree here Call of Duty: Black Ops 7 2) Call of Duty Black Ops 7 When work is slowing down for the holidays, friends are home from school, and it's time to relax and let off some steam, Call of Duty Black Ops 7 is here for you. Whether you want to squad up with that same group you've been playing with since the old days or mowing down some zombies with your cousins or siblings, few games can offer quite the same cathartic gunplay as a new CoD game. And if you instead want to just check out a wild story, then hop into campaign mode, where you can play as Milo Ventimiglia, the actor behind Peter Petrelli from the mid-2000s superhero drama on NBC, Heroes. Read our review of Call of Duty: Black Ops 7 here Dragon Quest I & II HD-2D Remake With the cold weather settling in and snow coming down, sometimes it can be nice to settle in for a nice, long comfort RPG, and the new Dragon Quest I&II HD-2D Remake is perfect for those cold nights indoors. Following up on last year's Dragon Quest III Remake, DQ I&II are impressive and expansive retellings of the original games that came out nearly 40 years ago. With classic turn-based combat and a run time that can easily last 70+ hours, Dragon Quest I&II HD-2D pairs perfectly with a soft blanket and a mug of hot chocolate. Read our review of DQ I&II HD-2D Remake here Clair Obscur: Expedition 33 Few games this year have garnered quite as much discussion and fervor as Clair Obscur: Expedition 33. If, for some reason, you haven't had a chance yet to play it, this holiday if you have some time off work or school, do yourself a favor and play this game. From its complex world, captivating characters, and an enthralling soundtrack, if you have friends or family who also play games, play this game; it will give you all plenty of things to talk about. Read our review of Expedition 33 here . Sonic Racing: Crossworlds I've never quite understood the idea of Sonic the Hedgehog driving a car when he could run faster than one, but when a game is as fun as Sonic Racing: Crossworld is, those thoughts flow out of my head. Crossworlds is the best classic cart racer this year with exciting tracks, neat vehicle transformations, and a ton of characters -now from worlds and properties outside of Sonic! Gather around your screen for some local split-screen shananigans or play online with 12 players at once for a truly chaotix time. Read our review of Sonic Racing: Crossworlds here Split Fiction If you are looking for more of a cooperative jaunt, one of the best this year is Split Fiction, from Hazelight Studios, the same team behind the also fantastic It Takes Two. Split Fiction is a split-screen adventure where you and another person will work together through a variety of tricky challenges covering all sorts of game genres all under the umbrella of a wonderful tale of friendship. As an added bonus, only one person needs to own a copy of the game as you can invite another player to play with you online using the free Friend's Pass. Read our review of Split Fiction here . Ball X Pit There is something to be said about a game where you can play on the couch, losing hours to it, and Ball X Pit is a game that fits that bill. This clever twist on the classic brick-breaking formula is a rougelike indie game where you unlock new adventurers and descend into a pit to defeat menacing monsters by bouncing a wide variety of special spherical projectiles at them. In addition to being able to upgrade and fuse these powerful weapons, you will also unlock new characters to pick from, a small village-building system, and more as you break the walls of the encroaching enemies. Ball X Pit is a master at giving you that ""one more run"" itch. Read our rev",2025-12-23T22:36:00+00:00,,GameSpot - All Content,https://www.gamespot.com/gallery/best-games-to-play-during-the-holidays/2900-7381/
AI VTuber Neuro-Sama Just Obliterated Her Own Massive Twitch World Record,"In early 2025, partway through a subathon to mark her second birthday, the AI VTuber Neuro-Sama became the world record holder for the largest Twitch Hype Train. Many claimed her achievements were possible thanks to Riot's competitive shooter, Valorant, gifting one subscription for each five gifted by the community. Now, only a few days into her third birthday subathon, Neuro-Sama and her creator Vedal987 have smashed that world record. She completed Hype Train level 120 with 118,989 subscriptions and 1,000,073 Bits gifted to the Vedal987 Twitch channel within a limited time. Neuro-Sama is an AI VTuber who recently completed a Minecraft Hardcore run with her creator and friends Filian and Crelly. She streams on Vedal's Twitch channel, and is powered by an artificial intelligence system that utilizes a large language model with vast capabilities. She can ""see"" games and respond to them, even being able to play some, she can read her Twitch chat and interact with viewers, and this week she's been playing around in virtual reality with her friends thanks to her new(ish) 3D model. Neuro-Sama debuted on Twitch on 19 December 2022, and each subsequent year on the same date she begins a subathon--a continuous stream that has its length determined by the number of subscriptions the community has gifted. When an abnormal number of subscriptions or Bits are gifted within a limited timeframe, a Hype Train is triggered, which shows an on-screen percentage, level, and how many subscriptions are required to progress to the next level. While Neuro-Sama met level 111 in January 2025, this time around she didn't need Valorant's help to decimate her own world record. Continue Reading at GameSpot",2025-12-23T22:35:00+00:00,,GameSpot - All Content,https://www.gamespot.com/articles/ai-vtuber-neuro-sama-just-obliterated-her-own-massive-twitch-world-record/1100-6537146/?ftag=CAD-01-10abi2f
"I Hated Parrying, Until I Played Clair Obscur: Expedition 33","Parrying is about subtlety. It's the act of scrutinizing fisticuffs and sword fights with a furrowed brow, familiarizing yourself with the cadence of combat right down to milliseconds, and learning the precise moment of performing a counter attack. For instance, a small variation in animation may point to a rare opening. A slight note change in the audio cue may indicate a shift of attacks from the enemy. To parry well is to understand these details and adapt to them dexterously. That said, doing so is exhausting. The requirements needed to pull off a parry in most games can be steep and exacting. It's why I'd usually avoid parrying if there are other ways to minimize damage during combat, such as blocking or dodging. The painterly Clair Obscur: Expedition 33, one of my favorite RPGs this year, has been the exception. Within its dazzling combat system I've discovered the joy of parrying, every encounter an exhilarating sequence of silky-smooth attacks and ripostes. Fighting in Expedition 33 is a resplendent affair, thanks to its surprisingly in-depth and complex structure. Its skirmishes enhance JRPG-inspired turn-based combat with real-time elements that get players to dodge--and parry--at the right moment. Continue Reading at GameSpot",2025-12-23T21:00:00+00:00,,GameSpot - All Content,https://www.gamespot.com/articles/i-hated-parrying-until-i-played-clair-obscur-expedition-33/1100-6537003/?ftag=CAD-01-10abi2f
Best New Games Without AI,"The use of Generative AI (or GenAI for short) is on the rise, with many examples in some of the biggest games of the year using art, voice recordings, and narratives, just to name a few, now coming to light. For many players, a studio’s use of AI as a shortcut, instead of commissioning an artist, hiring a voice actor, or paying a writer to create assets for the final product, is something they actively don’t want to buy. So this curated list that’s human-approved with only a spellchecker to assist in its creation will highlight the best games in 2025 where AI is, as far as we know, not involved in the development process. They all come from a whole bunch of developers, big and small, spanning a wide range of genres. The one thing they have in common is that a dedicated team of people worked on it without any assistance from GenAI tools. It’s important to clarify that any procedural generation of maps, or randomized abilities or enemies, uses AI to determine what appears, and is not the same as GenAI. We’re specifically excluding games that use AI to generate any assets, whether it’s disclosed at the point of sale or found out after publishing. If it’s ethically problematic for any of these reasons, a game won’t be included on the list, no matter how much of a Game of the Year contender it is. With that, here are the best games without AI involvement in their development. Hades 2 Platforms : PC, Nintendo Switch, Nintendo Switch 2, Xbox Series X|S, PlayStation 5 Developer : Supergiant Games Release date : September 25, 2025 Hades 2 is the long-awaited sequel to Supergiant Games’ Game of the Year, which puts you in the shoes of the immortal Princess Melinoë as she attempts to save her father Hades and his kingdom from the time-looping clutches of the Titan Cronos. It largely follows a similar Roguelike structure, where each run has you collect powers from the Ancient Greek Pantheon to augment your chosen weapon and crush the foes in your way. Of course, with every sequel, you need to outdo what came before. Naturally, this means having two separate paths from the beginning, each with its own layout. One leads to the depths of Hades to Cronos, while the other has Melinoë ascend to the peak of Mt Olympus to defeat the invading monsters. Fans of the first will likely already have this one, but you don’t need to have mastered the original to enjoy everything that Hades 2 has to offer. See on Amazon Dispatch P latforms : PC, PlayStation 5 Developer : AdHoc Studio Release date : October 22, 2025 Released episodically, Dispatch is a wonderful throwback from the team behind The Walking Dead and The Wolf Among Us. Throughout its first season, you are a former superhero, Mechaman, who becomes a dispatcher for a new generation of heroes. However, he ends up managing a team of miscreants who are easily sidetracked by a little bit of arson or petty theft. It’s up to you to keep everything on track, even when things go south. Whether it’s allocating the right person for a particular job or making sure another hero doesn’t get sidetracked, each chapter has significant decisions that drastically change the outcome of a mission. By reading each hero's bio and upgrading their skills, you’ll increase your chances of success. You’ll also occasionally need to hack into systems remotely to assist your heroes when they’re in peril. Dispatch’s stunning cast, which includes professional voice actors and some YouTubers branching out and doing a decent job in bringing these larger-than-life characters to life. By the time you reach the end, only one question will likely be on your mind: when’s season 2? See on Steam Absolum Pl atforms : PC, Nintendo Switch, Xbox Series X|S, Xbox One, PlayStation 5, PlayStation 4 Developer : Dotemu, Guard Crush Games, Supamonks Release date : October 9, 2025 For fans of retro beat-'em-ups such as Streets of Rage or Final Fight, it’s been quite a while since a brand-new series broke ground. Absolum carefully blends in Roguelike game mechanics to make what Steve Watts, in his review, described as “a match made in heaven”. You play as one of a band of rebel wizards led by Root Mother Uchawi, a benevolent god-like being, who attempts to take on the tyrant Sun King Azra and his Crimson Order army, who have taken over the world of Talamh. With multiple characters to play with their own fighting style, a phenomenal soundtrack, stunning visuals, and a Hades-like elemental progression system for every run, it’s easy to see how this is a winning formula. On top of that, there are plenty of branching paths and hidden secrets to find along the way. Quests ask you to venture to specific points, but don’t always require that you reach them in the same run. Some may feel that the Roguelike structure holds it back because it doesn’t lean into it enough, but it instead asks for the player to master its mechanics by giving them familiar challenges, and as such, may be somewhat fairer to their time. If you’re not convinced",2025-12-23T20:45:00+00:00,,GameSpot - All Content,https://www.gamespot.com/gallery/best-games-without-ai/2900-7369/
